,Цена,Диагональ экрана,Объем накопителя SSD,Объем оперативной памяти,Количество ядер процессора,Комплектация,Емкость аккумулятора,Вес,Операционная система
Ноутбук GF63 Thin 11UD-254XRU,79 990 ₽,"15.6""",256 Гб,8 ГБ,6,ноутбук; блок питания; инструкция,51 Втч,1.86 кг,отсутствует
"Ноутбук 15.6"", Intel Core i3 1.2ГГц, 12ГБ, 256ГБ SSD",35 990 ₽,15.6,256 Гб,12 ГБ,2,,,,Windows 11 Home
"Ноутбук ACER Aspire 3 A315-23 15"" 8GB 512GB, серебристый",37 083 ₽,"15.6""",512 Гб,8,2,Ноутбук - 1шт.; Блок питания - 1шт.; Гарантийный талон - 1шт.; руководство пользователя - 1шт.,,1.81 кг,Без системы
Ноутбук Lenovo V14 HD TN Intel Core i3-1115G4,34 900 ₽,14,256; 256 Гб,4; 4 ГБ,2,,38 Вт*ч,1.4 кг,Windows
"Ноутбук AZ-1507 15.6""/4x2.0GHz/8Gb/512Gb",27 075 ₽,"15.6""",512 Гб,8 ГБ,4,Блок питания - 1 шт; Ноутбук - 1 шт,4000mAh,1.9 кг,Windows
"Ноутбук AZ-1504 15.6""/8Gb/512Gb",20 995 ₽,"15.6""",512 Гб,8 ГБ,4 ядра,Ноутбук- 1шт; блок питания - 1шт; Гарантийный талон - 1шт.,3600 mAh,1.9 кг,Windows 10 Pro
Ноутбук Lenovo V15 G4 AMN FHD TN/AMD Athlon Silver 7120U,34 900 ₽,"15,6",256; 256 Гб,8; 8 ГБ,2,,47 Вт*ч,1.6 кг,Windows
Ноутбук Acer Aspire 5 i7-1255U/16Gb/512Gb/17.3(NX.K62ER.004),97 630 ₽,17.3,512,16 ГБ,10,"Ноутбук, блок питания, документация",,2.2 кг,Без системы
MacBook Pro 14/M2 Pro/16/1 (Silver),228 241 ₽,"14.2""",1 ТБ,16 ГБ,10,Macbook; документация; зарядное устройство; кабель,,1.6 кг,macOS
"Ноутбук CHUWI Corebook Xpro 15.6''1920X1080,i5-10210U, 8GB+512GB,Win11 HOME",48 190 ₽,"15.6 """,512 GB,8 GB,4 ядер,инструкция - 1шт; зарядное устройство - 1шт; гарантиный талон - 1шт; Ноутбук - 1шт,4000 mAh,1.78 кг,Windows 11 Home
Ноутбук игровой Ipason Maxbook P2 PRO 512/16 Gb ультрабук,54 600 ₽,"15,6 дюйма 1920*1080",512,16 ГБ,4,"1\*ноутбук, 1\*зарядное устройство , коврик для мыши, мышь, сумка для ноутбука, USB разветвитель",6000 мА*ч,1.5 кг,Windows 10 RUS
Ноутбук Vivobook Pro 16X OLED N7600PC-L2152,138 021 ₽,"16.0""",1024 гб,16 гб,4,ноутбук; адаптер питания; документация,96 Вт·ч,1.95 кг,без ОС
Acer Nitro 5 15.6 144Hz Ryzen 5/16Gb/SSD 512Gb/RTX 3060,108 990 ₽,"15,6""",512 гб,16 гб,8,,,,noOS
Ноутбук Lenovo IdeaPad 3 (Ryzen 5000),75 500 ₽,"16""",1 Тб,8Гб,8 ядер,,75 Вт*ч,1.9 кг,Windows 11 Home
"Ноутбук Lenovo Ideapad 3 15"" FHD IPS/Intel Core i3-1115G4",39 900 ₽,15.6,128 Гб,8,2,"Ноутбук, зарядное устройство, сетевой адаптер",0,1.8 кг,Windows Pro
"Ноутбук AZ-1509 15.6""/4x2.0GHz/16Gb/256Gb",28 500 ₽,15.6'',256 Гб,16 ГБ,4,Блок питания - 1 шт; Ноутбук - 1 шт,5000 mAh,1.5 кг,Windows 10 Pro
"Xiaomi Redmibook, Pro 14"" 2022 R5 6600H/16G/512G/AMD/Grey",78 190 ₽,"14""",512 Гб,16 ГБ,6-ядерный,ноутбук-1шт; Адаптер питания-1шт; Кабель питания-1шт; докментация-1шт; переходник-1шт,56 Wh,1.42 кг,Windows 10 trial (для ознакомления)
"Ноутбук ASUS X1500EA-BQ2259W 15,6/i3/SSD512/8GB/Win11",74 990 ₽,"15.6""",512 Гб,8,2,ноутбук; коробка; зарядное устройство; руководство пользователя; аккумулятор,40ма*ч; 40мАч,,Windows 11
"Ноутбук игровой MSI Pulse GL76 17.3"" i5/512SSD/RTX3060/DOS",134 420 ₽,17.3,512,16 ГБ,12,"Ноутбук, зарядное устройство, документация",,2.66 кг,Без системы
"Ноутбук AZ-1507 15.6""/4x2.0GHz/8Gb/256Gb",26 030 ₽,"15.6""",256 Гб,8,4,блок питания - 1шт; Ноутбук - 1шт,4000mAh,1.9 кг,Windows 10 Pro
Ноутбук Acer Aspire 3 A317-52-599Q NX.HZWER.007,65 000 ₽,"17.3""",256 гб,8 гб,4,Ноутбук; кабель питания; документация,36 Вт-ч,2.8 кг,Endless OS
"Ноутбук AZ-1601 16""/4x2.0GHz/16Gb/2Tb",34 580 ₽,"16""",2048 Гб,16 ГБ,4,"ноутбук, блок питания",4400 mAh,1.9 кг,Windows
Ноутбук Acer Swift 3 SF314-43 [NX.AB1ER.00E],50 301 ₽,"14""",512 Гб,16,6,,,,Windows
Ноутбук Hiper WORKBOOK A1568K A1568K1135DS,50 145 ₽,"15.6""",512 гб,8 гб,4,ноутбук; зарядное устройство; документация,3350 мАч,1.5 кг,DOS
Ноутбук HP Pavilion 15-eh2051ci [6M876EA],58 581 ₽,"15.6""",1 Тб,16,8,,,,Windows
